BeachId,Region,Council,Site,Longitude,Latitude,Date,Enterococci (cfu/100ml)
74.1,Sydney Harbour,City of Canada Bay Council,Chiswick Baths,151.14295,-33.847206,08/04/2021,14
74.1,Sydney Harbour,City of Canada Bay Council,Chiswick Baths,151.14295,-33.847206,27/01/2021,18
74.1,Sydney Harbour,City of Canada Bay Council,Chiswick Baths,151.14295,-33.847206,14/01/2021,24
74.1,Sydney Harbour,City of Canada Bay Council,Chiswick Baths,151.14295,-33.847206,18/01/2021,14
74.1,Sydney Harbour,City of Canada Bay Council,Chiswick Baths,151.14295,-33.847206,09/12/2021,8
74.1,Sydney Harbour,City of Canada Bay Council,Chiswick Baths,151.14295,-33.847206,15/12/2021,2
74.1,Sydney Harbour,City of Canada Bay Council,Chiswick Baths,151.14295,-33.847206,29/12/2021,7
74.1,Sydney Harbour,City of Canada Bay Council,Chiswick Baths,151.14295,-33.847206,26/11/2021,160
74.1,Sydney Harbour,City of Canada Bay Council,Chiswick Baths,151.14295,-33.847206,08/10/2021,10
74.1,Sydney Harbour,City of Canada Bay Council,Chiswick Baths,151.14295,-33.847206,26/10/2021,3
74.1,Sydney Harbour,City of Canada Bay Council,Chiswick Baths,151.14295,-33.847206,26/08/2021,140
74.1,Sydney Harbour,City of Canada Bay Council,Chiswick Baths,151.14295,-33.847206,26/04/2021,54
74.1,Sydney Harbour,City of Canada Bay Council,Chiswick Baths,151.14295,-33.847206,13/07/2021,6
74.1,Sydney Harbour,City of Canada Bay Council,Chiswick Baths,151.14295,-33.847206,10/11/2021,28
74.1,Sydney Harbour,City of Canada Bay Council,Chiswick Baths,151.14295,-33.847206,09/06/2021,3
74.1,Sydney Harbour,City of Canada Bay Council,Chiswick Baths,151.14295,-33.847206,13/05/2021,34
74.1,Sydney Harbour,City of Canada Bay Council,Chiswick Baths,151.14295,-33.847206,16/11/2021,0
74.1,Sydney Harbour,City of Canada Bay Council,Chiswick Baths,151.14295,-33.847206,22/11/2021,44
74.1,Sydney Harbour,City of Canada Bay Council,Chiswick Baths,151.14295,-33.847206,04/11/2021,11
74.1,Sydney Harbour,City of Canada Bay Council,Chiswick Baths,151.14295,-33.847206,03/12/2021,29
74.1,Sydney Harbour,City of Canada Bay Council,Chiswick Baths,151.14295,-33.847206,29/10/2021,5
74.1,Sydney Harbour,City of Canada Bay Council,Chiswick Baths,151.14295,-33.847206,14/10/2021,5
74.1,Sydney Harbour,City of Canada Bay Council,Chiswick Baths,151.14295,-33.847206,20/10/2021,0
74.1,Sydney Harbour,City of Canada Bay Council,Chiswick Baths,151.14295,-33.847206,20/09/2021,3
61,Sydney Harbour,City of Sydney,Darling Harbour,151.20069,-33.87129,13/07/2021,35
61,Sydney Harbour,City of Sydney,Darling Harbour,151.20069,-33.87129,26/08/2021,44
61,Sydney Harbour,City of Sydney,Darling Harbour,151.20069,-33.87129,09/12/2021,30
61,Sydney Harbour,City of Sydney,Darling Harbour,151.20069,-33.87129,20/04/2021,5
61,Sydney Harbour,City of Sydney,Darling Harbour,151.20069,-33.87129,04/11/2021,180
61,Sydney Harbour,City of Sydney,Darling Harbour,151.20069,-33.87129,10/11/2021,72
61,Sydney Harbour,City of Sydney,Darling Harbour,151.20069,-33.87129,22/11/2021,15
61,Sydney Harbour,City of Sydney,Darling Harbour,151.20069,-33.87129,26/11/2021,900
61,Sydney Harbour,City of Sydney,Darling Harbour,151.20069,-33.87129,09/06/2021,200
61,Sydney Harbour,City of Sydney,Darling Harbour,151.20069,-33.87129,16/11/2021,2
61,Sydney Harbour,City of Sydney,Darling Harbour,151.20069,-33.87129,13/05/2021,15
61,Sydney Harbour,City of Sydney,Darling Harbour,151.20069,-33.87129,26/04/2021,50
61,Sydney Harbour,City of Sydney,Darling Harbour,151.20069,-33.87129,03/12/2021,15
61,Sydney Harbour,City of Sydney,Darling Harbour,151.20069,-33.87129,22/12/2021,8
61,Sydney Harbour,City of Sydney,Darling Harbour,151.20069,-33.87129,27/01/2021,10
61,Sydney Harbour,City of Sydney,Darling Harbour,151.20069,-33.87129,14/01/2021,72
61,Sydney Harbour,City of Sydney,Darling Harbour,151.20069,-33.87129,15/12/2021,60
61,Sydney Harbour,City of Sydney,Darling Harbour,151.20069,-33.87129,29/12/2021,84
61,Sydney Harbour,City of Sydney,Darling Harbour,151.20069,-33.87129,08/02/2021,0
61,Sydney Harbour,City of Sydney,Darling Harbour,151.20069,-33.87129,18/01/2021,1
61,Sydney Harbour,City of Sydney,Darling Harbour,151.20069,-33.87129,12/02/2021,4
61,Sydney Harbour,City of Sydney,Darling Harbour,151.20069,-33.87129,18/02/2021,41
61,Sydney Harbour,City of Sydney,Darling Harbour,151.20069,-33.87129,02/03/2021,1
61,Sydney Harbour,City of Sydney,Darling Harbour,151.20069,-33.87129,08/03/2021,2
61,Sydney Harbour,City of Sydney,Darling Harbour,151.20069,-33.87129,24/03/2021,120
61,Sydney Harbour,City of Sydney,Darling Harbour,151.20069,-33.87129,19/03/2021,4600
61,Sydney Harbour,City of Sydney,Darling Harbour,151.20069,-33.87129,25/02/2021,220
61,Sydney Harbour,City of Sydney,Darling Harbour,151.20069,-33.87129,02/02/2021,39
