BeachId,Region,Council,Site,Longitude,Latitude,Date,Enterococci (cfu/100ml)
74,Sydney Harbour,City of Canada Bay Council,Cabarita Beach,151.11852,-33.84187,06/11/2018,3
74,Sydney Harbour,City of Canada Bay Council,Cabarita Beach,151.11852,-33.84187,14/11/2018,3
74,Sydney Harbour,City of Canada Bay Council,Cabarita Beach,151.11852,-33.84187,20/11/2018,0
74,Sydney Harbour,City of Canada Bay Council,Cabarita Beach,151.11852,-33.84187,24/10/2018,11
74,Sydney Harbour,City of Canada Bay Council,Cabarita Beach,151.11852,-33.84187,30/10/2018,5
74,Sydney Harbour,City of Canada Bay Council,Cabarita Beach,151.11852,-33.84187,14/12/2018,410
74,Sydney Harbour,City of Canada Bay Council,Cabarita Beach,151.11852,-33.84187,19/12/2018,15
74,Sydney Harbour,City of Canada Bay Council,Cabarita Beach,151.11852,-33.84187,27/12/2018,12
74,Sydney Harbour,City of Canada Bay Council,Cabarita Beach,151.11852,-33.84187,05/03/2018,9
74,Sydney Harbour,City of Canada Bay Council,Cabarita Beach,151.11852,-33.84187,18/10/2018,190
74,Sydney Harbour,City of Canada Bay Council,Cabarita Beach,151.11852,-33.84187,26/11/2018,4
74,Sydney Harbour,City of Canada Bay Council,Cabarita Beach,151.11852,-33.84187,02/02/2018,13
74,Sydney Harbour,City of Canada Bay Council,Cabarita Beach,151.11852,-33.84187,09/03/2018,1
74,Sydney Harbour,City of Canada Bay Council,Cabarita Beach,151.11852,-33.84187,15/03/2018,2
74,Sydney Harbour,City of Canada Bay Council,Cabarita Beach,151.11852,-33.84187,21/03/2018,34
74,Sydney Harbour,City of Canada Bay Council,Cabarita Beach,151.11852,-33.84187,13/04/2018,1
74,Sydney Harbour,City of Canada Bay Council,Cabarita Beach,151.11852,-33.84187,26/04/2018,0
74,Sydney Harbour,City of Canada Bay Council,Cabarita Beach,151.11852,-33.84187,22/01/2018,1
74,Sydney Harbour,City of Canada Bay Council,Cabarita Beach,151.11852,-33.84187,27/03/2018,6
74,Sydney Harbour,City of Canada Bay Council,Cabarita Beach,151.11852,-33.84187,08/02/2018,3
