BeachId,Region,Council,Site,Longitude,Latitude,Date,Enterococci (cfu/100ml)
74,Sydney Harbour,City of Canada Bay Council,Cabarita Beach,151.11852,-33.84187,11/02/2020,220
74,Sydney Harbour,City of Canada Bay Council,Cabarita Beach,151.11852,-33.84187,04/03/2020,30
74,Sydney Harbour,City of Canada Bay Council,Cabarita Beach,151.11852,-33.84187,21/02/2020,14
74,Sydney Harbour,City of Canada Bay Council,Cabarita Beach,151.11852,-33.84187,04/05/2020,2
74,Sydney Harbour,City of Canada Bay Council,Cabarita Beach,151.11852,-33.84187,01/07/2020,0
74,Sydney Harbour,City of Canada Bay Council,Cabarita Beach,151.11852,-33.84187,06/08/2020,8
74,Sydney Harbour,City of Canada Bay Council,Cabarita Beach,151.11852,-33.84187,12/10/2020,0
74,Sydney Harbour,City of Canada Bay Council,Cabarita Beach,151.11852,-33.84187,20/03/2020,6
74,Sydney Harbour,City of Canada Bay Council,Cabarita Beach,151.11852,-33.84187,02/06/2020,1000
74,Sydney Harbour,City of Canada Bay Council,Cabarita Beach,151.11852,-33.84187,04/09/2020,2
74,Sydney Harbour,City of Canada Bay Council,Cabarita Beach,151.11852,-33.84187,06/10/2020,2
74,Sydney Harbour,City of Canada Bay Council,Cabarita Beach,151.11852,-33.84187,30/01/2020,0
74,Sydney Harbour,City of Canada Bay Council,Cabarita Beach,151.11852,-33.84187,05/02/2020,4
74,Sydney Harbour,City of Canada Bay Council,Cabarita Beach,151.11852,-33.84187,27/02/2020,4
74,Sydney Harbour,City of Canada Bay Council,Cabarita Beach,151.11852,-33.84187,16/03/2020,10
74,Sydney Harbour,City of Canada Bay Council,Cabarita Beach,151.11852,-33.84187,28/10/2020,84
74,Sydney Harbour,City of Canada Bay Council,Cabarita Beach,151.11852,-33.84187,10/11/2020,4
74,Sydney Harbour,City of Canada Bay Council,Cabarita Beach,151.11852,-33.84187,16/10/2020,2
74,Sydney Harbour,City of Canada Bay Council,Cabarita Beach,151.11852,-33.84187,04/11/2020,0
74,Sydney Harbour,City of Canada Bay Council,Cabarita Beach,151.11852,-33.84187,16/11/2020,18
74,Sydney Harbour,City of Canada Bay Council,Cabarita Beach,151.11852,-33.84187,27/04/2020,5
74,Sydney Harbour,City of Canada Bay Council,Cabarita Beach,151.11852,-33.84187,22/10/2020,8
74,Sydney Harbour,City of Canada Bay Council,Cabarita Beach,151.11852,-33.84187,27/11/2020,0
74,Sydney Harbour,City of Canada Bay Council,Cabarita Beach,151.11852,-33.84187,02/12/2020,10
74,Sydney Harbour,City of Canada Bay Council,Cabarita Beach,151.11852,-33.84187,24/01/2020,11
74,Sydney Harbour,City of Canada Bay Council,Cabarita Beach,151.11852,-33.84187,20/11/2020,3
74,Sydney Harbour,City of Canada Bay Council,Cabarita Beach,151.11852,-33.84187,14/12/2020,5
74,Sydney Harbour,City of Canada Bay Council,Cabarita Beach,151.11852,-33.84187,08/12/2020,0
74,Sydney Harbour,City of Canada Bay Council,Cabarita Beach,151.11852,-33.84187,08/01/2020,3
74,Sydney Harbour,City of Canada Bay Council,Cabarita Beach,151.11852,-33.84187,14/01/2020,2
74.1,Sydney Harbour,City of Canada Bay Council,Chiswick Baths,151.14295,-33.847206,14/01/2020,2
74.1,Sydney Harbour,City of Canada Bay Council,Chiswick Baths,151.14295,-33.847206,08/01/2020,4
74.1,Sydney Harbour,City of Canada Bay Council,Chiswick Baths,151.14295,-33.847206,14/12/2020,2
74.1,Sydney Harbour,City of Canada Bay Council,Chiswick Baths,151.14295,-33.847206,08/12/2020,0
74.1,Sydney Harbour,City of Canada Bay Council,Chiswick Baths,151.14295,-33.847206,20/11/2020,2
74.1,Sydney Harbour,City of Canada Bay Council,Chiswick Baths,151.14295,-33.847206,24/01/2020,30
74.1,Sydney Harbour,City of Canada Bay Council,Chiswick Baths,151.14295,-33.847206,10/11/2020,14
74.1,Sydney Harbour,City of Canada Bay Council,Chiswick Baths,151.14295,-33.847206,28/10/2020,18
74.1,Sydney Harbour,City of Canada Bay Council,Chiswick Baths,151.14295,-33.847206,06/10/2020,2
74.1,Sydney Harbour,City of Canada Bay Council,Chiswick Baths,151.14295,-33.847206,12/10/2020,2
74.1,Sydney Harbour,City of Canada Bay Council,Chiswick Baths,151.14295,-33.847206,02/06/2020,10
74.1,Sydney Harbour,City of Canada Bay Council,Chiswick Baths,151.14295,-33.847206,01/07/2020,0
74.1,Sydney Harbour,City of Canada Bay Council,Chiswick Baths,151.14295,-33.847206,16/11/2020,0
74.1,Sydney Harbour,City of Canada Bay Council,Chiswick Baths,151.14295,-33.847206,04/11/2020,1
74.1,Sydney Harbour,City of Canada Bay Council,Chiswick Baths,151.14295,-33.847206,16/10/2020,8
74.1,Sydney Harbour,City of Canada Bay Council,Chiswick Baths,151.14295,-33.847206,27/11/2020,23
74.1,Sydney Harbour,City of Canada Bay Council,Chiswick Baths,151.14295,-33.847206,02/12/2020,28
74.1,Sydney Harbour,City of Canada Bay Council,Chiswick Baths,151.14295,-33.847206,22/10/2020,1
74.1,Sydney Harbour,City of Canada Bay Council,Chiswick Baths,151.14295,-33.847206,20/03/2020,13
74.1,Sydney Harbour,City of Canada Bay Council,Chiswick Baths,151.14295,-33.847206,21/02/2020,14
74.1,Sydney Harbour,City of Canada Bay Council,Chiswick Baths,151.14295,-33.847206,27/04/2020,0
74.1,Sydney Harbour,City of Canada Bay Council,Chiswick Baths,151.14295,-33.847206,04/09/2020,2
74.1,Sydney Harbour,City of Canada Bay Council,Chiswick Baths,151.14295,-33.847206,06/08/2020,0
74.1,Sydney Harbour,City of Canada Bay Council,Chiswick Baths,151.14295,-33.847206,04/05/2020,1
74.1,Sydney Harbour,City of Canada Bay Council,Chiswick Baths,151.14295,-33.847206,05/02/2020,1
74.1,Sydney Harbour,City of Canada Bay Council,Chiswick Baths,151.14295,-33.847206,04/03/2020,44
74.1,Sydney Harbour,City of Canada Bay Council,Chiswick Baths,151.14295,-33.847206,27/02/2020,0
74.1,Sydney Harbour,City of Canada Bay Council,Chiswick Baths,151.14295,-33.847206,16/03/2020,120
74.1,Sydney Harbour,City of Canada Bay Council,Chiswick Baths,151.14295,-33.847206,30/01/2020,0
74.1,Sydney Harbour,City of Canada Bay Council,Chiswick Baths,151.14295,-33.847206,11/02/2020,72
61,Sydney Harbour,City of Sydney,Darling Harbour,151.20069,-33.87129,14/01/2020,41
